"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 15:04:16 GMT 2023","Sun Apr 23 15:04:23 GMT 2023","6327","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_login",""
"passed","Sun Apr 23 15:06:11 GMT 2023","Sun Apr 23 15:06:22 GMT 2023","11082","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_delete_data",""
"failed","Sun Apr 23 15:05:34 GMT 2023","Sun Apr 23 15:06:09 GMT 2023","35089","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_update_data",""
"passed","Sun Apr 23 15:04:31 GMT 2023","Sun Apr 23 15:04:38 GMT 2023","6385","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_list_of_pages",""
"passed","Sun Apr 23 15:03:57 GMT 2023","Sun Apr 23 15:04:01 GMT 2023","4269","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_cookies",""
"passed","Sun Apr 23 15:05:25 GMT 2023","Sun Apr 23 15:05:33 GMT 2023","8578","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_file_data",""
"passed","Sun Apr 23 15:06:23 GMT 2023","Sun Apr 23 15:06:28 GMT 2023","4840","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_save_data",""
"passed","Sun Apr 23 15:04:39 GMT 2023","Sun Apr 23 15:05:23 GMT 2023","44855","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_new_data",""
"passed","Sun Apr 23 15:04:24 GMT 2023","Sun Apr 23 15:04:30 GMT 2023","6370","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_tagfilter",""
"passed","Sun Apr 23 15:06:29 GMT 2023","Sun Apr 23 15:06:33 GMT 2023","4354","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_sign_out",""
"passed","Sun Apr 23 15:04:02 GMT 2023","Sun Apr 23 15:04:15 GMT 2023","12823","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_registration",""
