"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 14:47:28 GMT 2023","Sun Apr 23 14:47:32 GMT 2023","4308","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_sign_out",""
"passed","Sun Apr 23 14:46:24 GMT 2023","Sun Apr 23 14:46:32 GMT 2023","8409","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_file_data",""
"passed","Sun Apr 23 14:47:22 GMT 2023","Sun Apr 23 14:47:27 GMT 2023","4750","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_save_data",""
"passed","Sun Apr 23 14:45:38 GMT 2023","Sun Apr 23 14:46:23 GMT 2023","44728","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_new_data",""
"passed","Sun Apr 23 14:47:10 GMT 2023","Sun Apr 23 14:47:21 GMT 2023","11428","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_delete_data",""
"passed","Sun Apr 23 14:44:57 GMT 2023","Sun Apr 23 14:45:01 GMT 2023","4116","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_cookies",""
"passed","Sun Apr 23 14:45:23 GMT 2023","Sun Apr 23 14:45:30 GMT 2023","6310","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_tagfilter",""
"passed","Sun Apr 23 14:45:02 GMT 2023","Sun Apr 23 14:45:15 GMT 2023","12461","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_registration",""
"passed","Sun Apr 23 14:45:16 GMT 2023","Sun Apr 23 14:45:22 GMT 2023","6281","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_login",""
"passed","Sun Apr 23 14:45:31 GMT 2023","Sun Apr 23 14:45:37 GMT 2023","6323","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_list_of_pages",""
"failed","Sun Apr 23 14:46:34 GMT 2023","Sun Apr 23 14:47:09 GMT 2023","34991","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_update_data",""
