"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 14:27:55 GMT 2023","Sun Apr 23 14:28:01 GMT 2023","6444","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_list_of_pages",""
"passed","Sun Apr 23 14:27:26 GMT 2023","Sun Apr 23 14:27:38 GMT 2023","12678","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_registration",""
"passed","Sun Apr 23 14:29:48 GMT 2023","Sun Apr 23 14:29:52 GMT 2023","4407","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_sign_out",""
"passed","Sun Apr 23 14:27:20 GMT 2023","Sun Apr 23 14:27:24 GMT 2023","4148","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","1. Adatkezelési nyilatkozat elfogadásának ellenőrzése:","kattintás után a panel eltűnésének ellenőrzése:"
"passed","Sun Apr 23 14:28:48 GMT 2023","Sun Apr 23 14:28:57 GMT 2023","8763","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_file_data",""
"passed","Sun Apr 23 14:29:42 GMT 2023","Sun Apr 23 14:29:47 GMT 2023","4966","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_save_data",""
"passed","Sun Apr 23 14:29:29 GMT 2023","Sun Apr 23 14:29:40 GMT 2023","11295","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_delete_data",""
"passed","Sun Apr 23 14:28:02 GMT 2023","Sun Apr 23 14:28:47 GMT 2023","44919","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_new_data",""
"passed","Sun Apr 23 14:27:39 GMT 2023","Sun Apr 23 14:27:46 GMT 2023","6366","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_login",""
"passed","Sun Apr 23 14:27:47 GMT 2023","Sun Apr 23 14:27:53 GMT 2023","6398","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_tagfilter",""
"failed","Sun Apr 23 14:28:58 GMT 2023","Sun Apr 23 14:29:28 GMT 2023","29346","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_update_data",""
