"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 14:13:36 GMT 2023","Fri Apr 14 14:13:40 GMT 2023","4323","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_sign_out",""
"broken","Fri Apr 14 14:12:54 GMT 2023","Fri Apr 14 14:13:03 GMT 2023","8647","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_new_data",""
"passed","Fri Apr 14 14:12:14 GMT 2023","Fri Apr 14 14:12:27 GMT 2023","12468","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_registration",""
"passed","Fri Apr 14 14:12:09 GMT 2023","Fri Apr 14 14:12:13 GMT 2023","4112","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 14:12:28 GMT 2023","Fri Apr 14 14:12:34 GMT 2023","6284","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_login",""
"passed","Fri Apr 14 14:12:45 GMT 2023","Fri Apr 14 14:12:53 GMT 2023","8353","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_list_of_pages",""
"broken","Fri Apr 14 14:13:04 GMT 2023","Fri Apr 14 14:13:10 GMT 2023","6260","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_file_data",""
"broken","Fri Apr 14 14:13:11 GMT 2023","Fri Apr 14 14:13:20 GMT 2023","8612","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_update_data",""
"passed","Fri Apr 14 14:12:35 GMT 2023","Fri Apr 14 14:12:44 GMT 2023","8333","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_tagfilter",""
"broken","Fri Apr 14 14:13:21 GMT 2023","Fri Apr 14 14:13:30 GMT 2023","8635","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 14:13:31 GMT 2023","Fri Apr 14 14:13:35 GMT 2023","4267","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_save_data",""
