"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 13:59:14 GMT 2023","Sun Apr 23 13:59:19 GMT 2023","4741","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_save_data",""
"passed","Sun Apr 23 13:59:02 GMT 2023","Sun Apr 23 13:59:13 GMT 2023","10981","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_delete_data",""
"passed","Sun Apr 23 13:59:20 GMT 2023","Sun Apr 23 13:59:24 GMT 2023","4324","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_sign_out",""
"passed","Sun Apr 23 13:57:00 GMT 2023","Sun Apr 23 13:57:13 GMT 2023","12682","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_registration",""
"passed","Sun Apr 23 13:57:21 GMT 2023","Sun Apr 23 13:57:28 GMT 2023","6322","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_tagfilter",""
"passed","Sun Apr 23 13:57:36 GMT 2023","Sun Apr 23 13:58:21 GMT 2023","44743","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_new_data",""
"failed","Sun Apr 23 13:58:31 GMT 2023","Sun Apr 23 13:59:01 GMT 2023","29507","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_update_data",""
"passed","Sun Apr 23 13:56:54 GMT 2023","Sun Apr 23 13:56:58 GMT 2023","4236","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_cookies",""
"passed","Sun Apr 23 13:58:22 GMT 2023","Sun Apr 23 13:58:30 GMT 2023","8406","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_file_data",""
"passed","Sun Apr 23 13:57:14 GMT 2023","Sun Apr 23 13:57:20 GMT 2023","6288","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_login",""
"passed","Sun Apr 23 13:57:29 GMT 2023","Sun Apr 23 13:57:35 GMT 2023","6337","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_list_of_pages",""
