"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 14:34:06 GMT 2023","Sun Apr 23 14:34:50 GMT 2023","44941","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_new_data",""
"passed","Sun Apr 23 14:35:45 GMT 2023","Sun Apr 23 14:35:50 GMT 2023","4957","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_save_data",""
"passed","Sun Apr 23 14:35:52 GMT 2023","Sun Apr 23 14:35:56 GMT 2023","4445","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_sign_out",""
"passed","Sun Apr 23 14:33:28 GMT 2023","Sun Apr 23 14:33:41 GMT 2023","13062","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_registration",""
"passed","Sun Apr 23 14:33:58 GMT 2023","Sun Apr 23 14:34:04 GMT 2023","6423","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_list_of_pages",""
"passed","Sun Apr 23 14:33:23 GMT 2023","Sun Apr 23 14:33:27 GMT 2023","4299","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_cookies",""
"passed","Sun Apr 23 14:34:52 GMT 2023","Sun Apr 23 14:35:01 GMT 2023","9380","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_file_data",""
"failed","Sun Apr 23 14:35:02 GMT 2023","Sun Apr 23 14:35:32 GMT 2023","29365","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_update_data",""
"passed","Sun Apr 23 14:35:33 GMT 2023","Sun Apr 23 14:35:44 GMT 2023","11308","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_delete_data",""
"passed","Sun Apr 23 14:33:42 GMT 2023","Sun Apr 23 14:33:49 GMT 2023","6386","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_login",""
"passed","Sun Apr 23 14:33:50 GMT 2023","Sun Apr 23 14:33:57 GMT 2023","6426","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_tagfilter",""
